Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Private_Predictions
144,6.8,3.2,5.9,2.3,Iris-versicolor
59,6.6,2.9,4.6,1.3,Iris-versicolor
6,5.4,3.9,1.7,0.4,Iris-setosa
81,5.5,2.4,3.8,1.1,Iris-versicolor
97,5.7,2.9,4.2,1.3,Iris-versicolor
114,5.7,2.5,5.0,2.0,Iris-versicolor
130,7.2,3.0,5.8,1.6,Iris-versicolor
11,5.4,3.7,1.5,0.2,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
55,6.5,2.8,4.6,1.5,Iris-versicolor
72,6.1,2.8,4.0,1.3,Iris-versicolor
37,5.5,3.5,1.3,0.2,Iris-setosa
66,6.7,3.1,4.4,1.4,Iris-versicolor
34,5.5,4.2,1.4,0.2,Iris-setosa
105,6.5,3.0,5.8,2.2,Iris-versicolor
75,6.4,2.9,4.3,1.3,Iris-versicolor
40,5.1,3.4,1.5,0.2,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
120,6.0,2.2,5.0,1.5,Iris-versicolor
33,5.2,4.1,1.5,0.1,Iris-setosa
14,4.3,3.0,1.1,0.1,Iris-setosa
106,7.6,3.0,6.6,2.1,Iris-versicolor
91,5.5,2.6,4.4,1.2,Iris-versicolor
82,5.5,2.4,3.7,1.0,Iris-versicolor
111,6.5,3.2,5.1,2.0,Iris-versicolor
103,7.1,3.0,5.9,2.1,Iris-versicolor
89,5.6,3.0,4.1,1.3,Iris-versicolor
93,5.8,2.6,4.0,1.2,Iris-versicolor
42,4.5,2.3,1.3,0.3,Iris-setosa
16,5.7,4.4,1.5,0.4,Iris-setosa
85,5.4,3.0,4.5,1.5,Iris-versicolor
25,4.8,3.4,1.9,0.2,Iris-setosa
123,7.7,2.8,6.7,2.0,Iris-versicolor
30,4.7,3.2,1.6,0.2,Iris-setosa
13,4.8,3.0,1.4,0.1,Iris-setosa
146,6.7,3.0,5.2,2.3,Iris-versicolor
50,5.0,3.3,1.4,0.2,Iris-setosa
90,5.5,2.5,4.0,1.3,Iris-versicolor
125,6.7,3.3,5.7,2.1,Iris-versicolor
116,6.4,3.2,5.3,2.3,Iris-versicolor
110,7.2,3.6,6.1,2.5,Iris-versicolor
119,7.7,2.6,6.9,2.3,Iris-versicolor
118,7.7,3.8,6.7,2.2,Iris-versicolor
24,5.1,3.3,1.7,0.5,Iris-setosa
20,5.1,3.8,1.5,0.3,Iris-setosa
17,5.4,3.9,1.3,0.4,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
121,6.9,3.2,5.7,2.3,Iris-versicolor
39,4.4,3.0,1.3,0.2,Iris-setosa
137,6.3,3.4,5.6,2.4,Iris-versicolor
115,5.8,2.8,5.1,2.4,Iris-versicolor
54,5.5,2.3,4.0,1.3,Iris-versicolor
76,6.6,3.0,4.4,1.4,Iris-versicolor
10,4.9,3.1,1.5,0.1,Iris-setosa
31,4.8,3.1,1.6,0.2,Iris-setosa
48,4.6,3.2,1.4,0.2,Iris-setosa
92,6.1,3.0,4.6,1.4,Iris-versicolor
65,5.6,2.9,3.6,1.3,Iris-versicolor
1,5.1,3.5,1.4,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
52,6.4,3.2,4.5,1.5,Iris-versicolor
18,5.1,3.5,1.4,0.3,Iris-setosa
70,5.6,2.5,3.9,1.1,Iris-versicolor
94,5.0,2.3,3.3,1.0,Iris-versicolor
71,5.9,3.2,4.8,1.8,Iris-versicolor
102,5.8,2.7,5.1,1.9,Iris-versicolor
45,5.1,3.8,1.9,0.4,Iris-setosa
135,6.1,2.6,5.6,1.4,Iris-versicolor
124,6.3,2.7,4.9,1.8,Iris-versicolor
64,6.1,2.9,4.7,1.4,Iris-versicolor
67,5.6,3.0,4.5,1.5,Iris-versicolor
129,6.4,2.8,5.6,2.1,Iris-versicolor
143,5.8,2.7,5.1,1.9,Iris-versicolor
100,5.7,2.8,4.1,1.3,Iris-versicolor
4,4.6,3.1,1.5,0.2,Iris-setosa
107,4.9,2.5,4.5,1.7,Iris-versicolor
53,6.9,3.1,4.9,1.5,Iris-versicolor
36,5.0,3.2,1.2,0.2,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
27,5.0,3.4,1.6,0.4,Iris-setosa
142,6.9,3.1,5.1,2.3,Iris-versicolor
138,6.4,3.1,5.5,1.8,Iris-versicolor
8,5.0,3.4,1.5,0.2,Iris-setosa
95,5.6,2.7,4.2,1.3,Iris-versicolor
60,5.2,2.7,3.9,1.4,Iris-versicolor
122,5.6,2.8,4.9,2.0,Iris-versicolor
80,5.7,2.6,3.5,1.0,Iris-versicolor
61,5.0,2.0,3.5,1.0,Iris-versicolor
68,5.8,2.7,4.1,1.0,Iris-versicolor
79,6.0,2.9,4.5,1.5,Iris-versicolor
12,4.8,3.4,1.6,0.2,Iris-setosa
99,5.1,2.5,3.0,1.1,Iris-versicolor
56,5.7,2.8,4.5,1.3,Iris-versicolor
44,5.0,3.5,1.6,0.6,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
46,4.8,3.0,1.4,0.3,Iris-setosa
57,6.3,3.3,4.7,1.6,Iris-versicolor
51,7.0,3.2,4.7,1.4,Iris-versicolor
132,7.9,3.8,6.4,2.0,Iris-versicolor
58,4.9,2.4,3.3,1.0,Iris-versicolor
23,4.6,3.6,1.0,0.2,Iris-setosa
117,6.5,3.0,5.5,1.8,Iris-versicolor
136,7.7,3.0,6.1,2.3,Iris-versicolor
5,5.0,3.6,1.4,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
128,6.1,3.0,4.9,1.8,Iris-versicolor
19,5.7,3.8,1.7,0.3,Iris-setosa
49,5.3,3.7,1.5,0.2,Iris-setosa
9,4.4,2.9,1.4,0.2,Iris-setosa
150,5.9,3.0,5.1,1.8,Iris-versicolor
104,6.3,2.9,5.6,1.8,Iris-versicolor
43,4.4,3.2,1.3,0.2,Iris-setosa
69,6.2,2.2,4.5,1.5,Iris-versicolor
83,5.8,2.7,3.9,1.2,Iris-versicolor
133,6.4,2.8,5.6,2.2,Iris-versicolor
101,6.3,3.3,6.0,2.5,Iris-versicolor
113,6.8,3.0,5.5,2.1,Iris-versicolor
140,6.9,3.1,5.4,2.1,Iris-versicolor
139,6.0,3.0,4.8,1.8,Iris-versicolor
84,6.0,2.7,5.1,1.6,Iris-versicolor
